id n pop length mu rec
locus41 90 1 119 3.95369312379969e-10 0
locus41 30 2 119 3.95369312379969e-10 0
locus42 54 1 93 6.28040994949884e-10 0
locus42 18 2 93 6.28040994949884e-10 0
locus43 78 1 90 1.08626761945111e-09 0
locus43 22 2 90 1.08626761945111e-09 0
locus44 84 1 97 1.5915329792799e-09 0
locus44 18 2 97 1.5915329792799e-09 0
locus45 64 1 128 1.1925938701495e-09 0
locus45 24 2 128 1.1925938701495e-09 0
locus46 70 1 91 1.12610317288122e-09 0
locus46 18 2 91 1.12610317288122e-09 0
locus47 98 1 123 1.02532215704087e-09 0
locus47 20 2 123 1.02532215704087e-09 0
locus48 70 1 102 1.62196487183914e-09 0
locus48 28 2 102 1.62196487183914e-09 0
locus49 70 1 87 2.76455794979607e-10 0
locus49 18 2 87 2.76455794979607e-10 0
locus50 70 1 93 6.49834474984456e-10 0
locus50 18 2 93 6.49834474984456e-10 0
locus51 70 1 81 2.16293157449683e-10 0
locus51 30 2 81 2.16293157449683e-10 0
locus52 68 1 116 1.04790387252725e-09 0
locus52 28 2 116 1.04790387252725e-09 0
locus53 70 1 146 6.44505595784045e-10 0
locus53 24 2 146 6.44505595784045e-10 0
locus54 32 1 66 1.43257853604638e-09 0
locus54 24 2 66 1.43257853604638e-09 0
locus55 48 1 293 2.22945682409779e-10 0
locus55 14 2 293 2.22945682409779e-10 0
locus56 74 1 107 5.57125093041753e-10 0
locus56 28 2 107 5.57125093041753e-10 0
locus57 80 1 104 1.62729868069456e-10 0
locus57 20 2 104 1.62729868069456e-10 0
locus58 86 1 136 5.00680019388845e-11 0
locus58 22 2 136 5.00680019388845e-11 0
locus59 82 1 107 1.6596247311371e-09 0
locus59 18 2 107 1.6596247311371e-09 0
locus60 82 1 107 3.98545296708246e-10 0
locus60 18 2 107 3.98545296708246e-10 0
locus61 76 1 93 8.32359034243884e-10 0
locus61 26 2 93 8.32359034243884e-10 0
locus62 88 1 187 9.96559616138865e-10 0
locus62 28 2 187 9.96559616138865e-10 0
locus63 90 1 46 7.7399872895477e-10 0
locus63 26 2 46 7.7399872895477e-10 0
locus64 70 1 112 4.69053564405108e-10 0
locus64 28 2 112 4.69053564405108e-10 0
locus65 56 1 122 7.49290564315036e-10 0
locus65 20 2 122 7.49290564315036e-10 0
locus66 80 1 79 8.74146144129754e-10 0
locus66 28 2 79 8.74146144129754e-10 0
locus67 36 1 225 5.78043228844558e-10 0
locus67 16 2 225 5.78043228844558e-10 0
locus68 90 1 96 7.49266669851352e-10 0
locus68 20 2 96 7.49266669851352e-10 0
locus69 80 1 136 2.57670053042184e-09 0
locus69 30 2 136 2.57670053042184e-09 0
locus70 58 1 151 1.38984562707305e-09 0
locus70 18 2 151 1.38984562707305e-09 0
locus71 82 1 93 6.21317067874348e-10 0
locus71 28 2 93 6.21317067874348e-10 0
locus72 86 1 101 1.45277835573647e-10 0
locus72 28 2 101 1.45277835573647e-10 0
locus73 88 1 174 5.43503023533615e-10 0
locus73 26 2 174 5.43503023533615e-10 0
locus74 94 1 214 1.87982196298243e-09 0
locus74 26 2 214 1.87982196298243e-09 0
locus75 84 1 135 1.06875350120957e-09 0
locus75 28 2 135 1.06875350120957e-09 0
locus76 78 1 87 1.19944155434017e-09 0
locus76 30 2 87 1.19944155434017e-09 0
locus77 70 1 101 1.30695071257603e-09 0
locus77 20 2 101 1.30695071257603e-09 0
locus78 80 1 111 8.38137682054078e-10 0
locus78 30 2 111 8.38137682054078e-10 0
locus79 56 1 90 1.40586451811023e-09 0
locus79 20 2 90 1.40586451811023e-09 0
locus80 84 1 94 1.40130562744177e-09 0
locus80 24 2 94 1.40130562744177e-09 0
locus81 66 1 36 8.69405068010266e-10 0
locus81 16 2 36 8.69405068010266e-10 0
locus82 86 1 86 4.82914551921812e-10 0
locus82 24 2 86 4.82914551921812e-10 0
locus83 44 1 180 2.10821766981257e-10 0
locus83 22 2 180 2.10821766981257e-10 0
locus84 62 1 79 1.24030733699806e-09 0
locus84 22 2 79 1.24030733699806e-09 0
locus85 94 1 85 1.72574303769023e-09 0
locus85 18 2 85 1.72574303769023e-09 0
locus86 86 1 97 6.81066707909747e-10 0
locus86 20 2 97 6.81066707909747e-10 0
locus87 76 1 98 1.32053116731715e-10 0
locus87 16 2 98 1.32053116731715e-10 0
locus88 74 1 102 2.94836015204295e-10 0
locus88 36 2 102 2.94836015204295e-10 0
locus89 90 1 130 8.29663708563995e-10 0
locus89 24 2 130 8.29663708563995e-10 0
locus90 86 1 135 2.94480616891288e-09 0
locus90 26 2 135 2.94480616891288e-09 0
locus91 90 1 160 7.43903028116015e-10 0
locus91 28 2 160 7.43903028116015e-10 0
locus92 70 1 80 5.29984089338472e-10 0
locus92 22 2 80 5.29984089338472e-10 0
locus93 42 1 153 7.97883023465593e-10 0
locus93 14 2 153 7.97883023465593e-10 0
locus94 82 1 126 1.38848779539941e-09 0
locus94 28 2 126 1.38848779539941e-09 0
locus95 84 1 96 1.4965274201992e-09 0
locus95 26 2 96 1.4965274201992e-09 0
locus96 86 1 191 1.15222841811782e-10 0
locus96 16 2 191 1.15222841811782e-10 0
locus97 50 1 164 2.42979606924098e-10 0
locus97 8 2 164 2.42979606924098e-10 0
locus98 90 1 98 1.60713981580435e-09 0
locus98 28 2 98 1.60713981580435e-09 0
locus99 94 1 151 8.87019524048098e-10 0
locus99 20 2 151 8.87019524048098e-10 0
locus100 68 1 89 4.39414744814365e-10 0
locus100 24 2 89 4.39414744814365e-10 0
locus101 76 1 94 1.05304538469556e-09 0
locus101 22 2 94 1.05304538469556e-09 0
locus102 50 1 162 1.92055297745176e-09 0
locus102 12 2 162 1.92055297745176e-09 0
locus103 100 1 103 6.59670324102313e-10 0
locus103 28 2 103 6.59670324102313e-10 0
locus104 78 1 194 9.35578546864118e-10 0
locus104 30 2 194 9.35578546864118e-10 0
locus105 68 1 88 7.65000398567364e-10 0
locus105 22 2 88 7.65000398567364e-10 0
locus106 48 1 129 3.08840439096655e-10 0
locus106 6 2 129 3.08840439096655e-10 0
locus107 78 1 165 5.60170769732491e-10 0
locus107 24 2 165 5.60170769732491e-10 0
locus108 90 1 158 1.09628473284963e-09 0
locus108 16 2 158 1.09628473284963e-09 0
locus109 70 1 176 2.70973203486863e-10 0
locus109 18 2 176 2.70973203486863e-10 0
locus110 100 1 132 4.16522132475531e-10 0
locus110 30 2 132 4.16522132475531e-10 0
locus111 50 1 146 1.76197947800567e-09 0
locus111 14 2 146 1.76197947800567e-09 0
locus112 72 1 231 2.08629327172461e-09 0
locus112 28 2 231 2.08629327172461e-09 0
locus113 90 1 94 1.94972335513731e-09 0
locus113 28 2 94 1.94972335513731e-09 0
locus114 60 1 210 4.87574332232472e-10 0
locus114 20 2 210 4.87574332232472e-10 0
locus115 50 1 123 7.0847556135233e-10 0
locus115 18 2 123 7.0847556135233e-10 0
locus116 84 1 91 8.02410844748247e-10 0
locus116 18 2 91 8.02410844748247e-10 0
locus117 98 1 115 6.96224015415446e-10 0
locus117 20 2 115 6.96224015415446e-10 0
locus118 60 1 49 1.58022616510087e-09 0
locus118 14 2 49 1.58022616510087e-09 0
locus119 58 1 100 1.59162044459428e-09 0
locus119 24 2 100 1.59162044459428e-09 0
locus120 52 1 155 7.60158993551407e-10 0
locus120 10 2 155 7.60158993551407e-10 0
locus121 80 1 109 1.3226983764256e-09 0
locus121 24 2 109 1.3226983764256e-09 0
locus122 64 1 105 1.93503592419264e-09 0
locus122 22 2 105 1.93503592419264e-09 0
locus123 84 1 104 8.97578510848315e-10 0
locus123 20 2 104 8.97578510848315e-10 0
locus124 58 1 146 2.90715688268356e-10 0
locus124 18 2 146 2.90715688268356e-10 0
locus125 100 1 109 2.23227753498034e-10 0
locus125 20 2 109 2.23227753498034e-10 0
locus126 98 1 146 7.10665214130959e-10 0
locus126 30 2 146 7.10665214130959e-10 0
locus127 86 1 103 1.06401572503948e-09 0
locus127 26 2 103 1.06401572503948e-09 0
locus128 78 1 109 1.64000878174132e-09 0
locus128 16 2 109 1.64000878174132e-09 0
locus129 50 1 468 9.63003290292622e-10 0
locus129 16 2 468 9.63003290292622e-10 0
locus130 82 1 97 1.63452833174337e-10 0
locus130 28 2 97 1.63452833174337e-10 0
locus131 92 1 113 1.03970007336566e-09 0
locus131 22 2 113 1.03970007336566e-09 0
locus132 78 1 112 2.11498910147502e-10 0
locus132 22 2 112 2.11498910147502e-10 0
locus133 90 1 120 6.05613905407129e-10 0
locus133 30 2 120 6.05613905407129e-10 0
locus134 70 1 104 1.39294423791822e-09 0
locus134 26 2 104 1.39294423791822e-09 0
locus135 56 1 203 6.99713138760267e-10 0
locus135 12 2 203 6.99713138760267e-10 0
locus136 84 1 134 4.0978006225054e-10 0
locus136 30 2 134 4.0978006225054e-10 0
locus137 64 1 219 1.22812404764705e-09 0
locus137 20 2 219 1.22812404764705e-09 0
locus138 86 1 96 1.77590475057171e-10 0
locus138 16 2 96 1.77590475057171e-10 0
locus139 68 1 91 1.16356718117278e-09 0
locus139 26 2 91 1.16356718117278e-09 0
locus140 54 1 122 2.32140863968615e-11 0
locus140 20 2 122 2.32140863968615e-11 0
locus141 100 1 139 7.24111376495812e-10 0
locus141 22 2 139 7.24111376495812e-10 0
locus142 90 1 108 3.29858962037437e-10 0
locus142 32 2 108 3.29858962037437e-10 0
locus143 90 1 109 3.44438327207626e-10 0
locus143 28 2 109 3.44438327207626e-10 0
locus144 94 1 105 1.88260515331046e-09 0
locus144 26 2 105 1.88260515331046e-09 0
locus145 28 1 199 1.1745656140195e-09 0
locus145 14 2 199 1.1745656140195e-09 0
locus146 76 1 134 9.0671458942841e-10 0
locus146 30 2 134 9.0671458942841e-10 0
locus147 60 1 83 3.28540064981691e-10 0
locus147 16 2 83 3.28540064981691e-10 0
locus148 58 1 132 5.13963037665491e-10 0
locus148 20 2 132 5.13963037665491e-10 0
locus149 78 1 138 1.36759362424914e-09 0
locus149 18 2 138 1.36759362424914e-09 0
locus150 66 1 85 2.35058145659754e-10 0
locus150 20 2 85 2.35058145659754e-10 0
locus151 30 1 228 6.02834381903243e-11 0
locus151 14 2 228 6.02834381903243e-11 0
locus152 94 1 122 1.39398665262614e-10 0
locus152 22 2 122 1.39398665262614e-10 0
locus153 78 1 80 1.80996678376782e-09 0
locus153 22 2 80 1.80996678376782e-09 0
locus154 78 1 162 2.01114351631272e-10 0
locus154 20 2 162 2.01114351631272e-10 0
locus155 82 1 87 1.14701121450336e-09 0
locus155 22 2 87 1.14701121450336e-09 0
locus156 80 1 106 1.07787772019797e-09 0
locus156 32 2 106 1.07787772019797e-09 0
locus157 74 1 203 1.67422647446326e-10 0
locus157 26 2 203 1.67422647446326e-10 0
locus158 76 1 187 1.5499299737441e-09 0
locus158 12 2 187 1.5499299737441e-09 0
locus159 72 1 182 1.0721591691443e-09 0
locus159 20 2 182 1.0721591691443e-09 0
locus160 90 1 183 5.70788060905812e-10 0
locus160 26 2 183 5.70788060905812e-10 0
locus161 96 1 118 1.36405721314657e-09 0
locus161 10 2 118 1.36405721314657e-09 0
locus162 88 1 115 2.18595293571811e-09 0
locus162 24 2 115 2.18595293571811e-09 0
locus163 78 1 87 1.97018538074977e-10 0
locus163 30 2 87 1.97018538074977e-10 0
locus164 38 1 63 5.26651523270382e-10 0
locus164 20 2 63 5.26651523270382e-10 0
locus165 90 1 134 1.69749042419277e-09 0
locus165 24 2 134 1.69749042419277e-09 0
locus166 98 1 186 1.93155768818111e-09 0
locus166 24 2 186 1.93155768818111e-09 0
locus167 98 1 202 9.42099680677491e-10 0
locus167 28 2 202 9.42099680677491e-10 0
locus168 80 1 98 3.11050478982844e-10 0
locus168 20 2 98 3.11050478982844e-10 0
locus169 60 1 181 4.56092757712957e-10 0
locus169 18 2 181 4.56092757712957e-10 0
locus170 94 1 134 1.26589022863377e-09 0
locus170 22 2 134 1.26589022863377e-09 0
locus171 78 1 104 8.24072290979409e-10 0
locus171 32 2 104 8.24072290979409e-10 0
locus172 60 1 101 9.23170328948484e-10 0
locus172 18 2 101 9.23170328948484e-10 0
locus173 92 1 151 1.21010423526527e-09 0
locus173 26 2 151 1.21010423526527e-09 0
locus174 78 1 95 1.22386548737118e-09 0
locus174 22 2 95 1.22386548737118e-09 0
locus175 86 1 84 4.26136278006517e-10 0
locus175 22 2 84 4.26136278006517e-10 0
locus176 78 1 121 1.15569061963567e-10 0
locus176 16 2 121 1.15569061963567e-10 0
locus177 86 1 197 5.14403030310243e-10 0
locus177 18 2 197 5.14403030310243e-10 0
locus178 82 1 240 1.09313572339261e-09 0
locus178 28 2 240 1.09313572339261e-09 0
locus179 34 1 122 5.18391376572708e-10 0
locus179 6 2 122 5.18391376572708e-10 0
locus180 88 1 104 6.1130326566386e-10 0
locus180 28 2 104 6.1130326566386e-10 0
locus181 60 1 25 1.90182077560774e-09 0
locus181 24 2 25 1.90182077560774e-09 0
locus182 88 1 105 1.32878563322866e-09 0
locus182 28 2 105 1.32878563322866e-09 0
locus183 80 1 108 1.27663418150591e-09 0
locus183 22 2 108 1.27663418150591e-09 0
locus184 84 1 159 1.10597017339288e-09 0
locus184 24 2 159 1.10597017339288e-09 0
locus185 80 1 98 2.00271914082725e-09 0
locus185 30 2 98 2.00271914082725e-09 0
locus186 88 1 164 1.25911015176277e-09 0
locus186 18 2 164 1.25911015176277e-09 0
locus187 44 1 151 1.12886956982868e-09 0
locus187 8 2 151 1.12886956982868e-09 0
locus188 82 1 83 1.96648016335039e-09 0
locus188 26 2 83 1.96648016335039e-09 0
locus189 74 1 97 5.73773290187558e-10 0
locus189 20 2 97 5.73773290187558e-10 0
locus190 90 1 131 7.87858182188142e-10 0
locus190 34 2 131 7.87858182188142e-10 0
locus191 54 1 41 2.36635114783917e-10 0
locus191 20 2 41 2.36635114783917e-10 0
locus192 78 1 120 2.44671462122509e-09 0
locus192 16 2 120 2.44671462122509e-09 0
locus193 70 1 156 1.77080954134698e-09 0
locus193 12 2 156 1.77080954134698e-09 0
locus194 78 1 143 1.38085936530944e-09 0
locus194 30 2 143 1.38085936530944e-09 0
locus195 86 1 162 1.79641257158189e-09 0
locus195 26 2 162 1.79641257158189e-09 0
locus196 90 1 118 2.30179274772845e-10 0
locus196 34 2 118 2.30179274772845e-10 0
locus197 80 1 160 4.1491279430862e-10 0
locus197 30 2 160 4.1491279430862e-10 0
locus198 52 1 56 1.09214015108758e-10 0
locus198 14 2 56 1.09214015108758e-10 0
locus199 70 1 104 1.24164925673828e-10 0
locus199 4 2 104 1.24164925673828e-10 0
locus200 86 1 104 4.78638523758499e-10 0
locus200 14 2 104 4.78638523758499e-10 0
locus201 80 1 92 8.30377314382673e-10 0
locus201 24 2 92 8.30377314382673e-10 0
locus202 80 1 109 1.12917102782836e-09 0
locus202 22 2 109 1.12917102782836e-09 0
locus203 94 1 106 1.57820205520625e-10 0
locus203 28 2 106 1.57820205520625e-10 0
locus204 92 1 102 2.65296894786423e-09 0
locus204 16 2 102 2.65296894786423e-09 0
locus205 70 1 79 4.44704242584515e-10 0
locus205 24 2 79 4.44704242584515e-10 0
locus206 40 1 122 3.62932138287618e-10 0
locus206 16 2 122 3.62932138287618e-10 0
locus207 86 1 105 4.15888313568417e-10 0
locus207 20 2 105 4.15888313568417e-10 0
locus208 94 1 62 8.1113295219643e-10 0
locus208 30 2 62 8.1113295219643e-10 0
locus209 38 1 388 1.81496753894532e-09 0
locus209 14 2 388 1.81496753894532e-09 0
locus210 70 1 110 1.75603138654162e-09 0
locus210 22 2 110 1.75603138654162e-09 0
locus211 32 1 34 1.63835815900182e-09 0
locus211 18 2 34 1.63835815900182e-09 0
locus212 78 1 119 3.23583439369556e-11 0
locus212 22 2 119 3.23583439369556e-11 0
locus213 80 1 118 1.25783067784599e-09 0
locus213 26 2 118 1.25783067784599e-09 0
locus214 74 1 131 1.31044091267308e-09 0
locus214 26 2 131 1.31044091267308e-09 0
locus215 64 1 68 2.68813135674033e-09 0
locus215 14 2 68 2.68813135674033e-09 0
locus216 96 1 115 1.27689860065339e-09 0
locus216 30 2 115 1.27689860065339e-09 0
locus217 110 1 142 7.34912148311536e-10 0
locus217 24 2 142 7.34912148311536e-10 0
locus218 84 1 101 1.25769317241562e-09 0
locus218 28 2 101 1.25769317241562e-09 0
locus219 58 1 91 5.94756257668306e-10 0
locus219 32 2 91 5.94756257668306e-10 0
locus220 80 1 87 3.02313818567544e-09 0
locus220 24 2 87 3.02313818567544e-09 0
locus221 92 1 109 6.95186093568047e-10 0
locus221 20 2 109 6.95186093568047e-10 0
locus222 50 1 169 3.46259846681287e-10 0
locus222 12 2 169 3.46259846681287e-10 0
locus223 88 1 128 1.27848319245872e-09 0
locus223 26 2 128 1.27848319245872e-09 0
locus224 78 1 131 1.05573252424509e-09 0
locus224 20 2 131 1.05573252424509e-09 0
locus225 96 1 75 1.39872327541909e-09 0
locus225 24 2 75 1.39872327541909e-09 0
locus226 72 1 91 1.81819574458233e-09 0
locus226 16 2 91 1.81819574458233e-09 0
locus227 94 1 127 1.57039480832818e-10 0
locus227 28 2 127 1.57039480832818e-10 0
locus228 60 1 155 1.39457041847895e-09 0
locus228 22 2 155 1.39457041847895e-09 0
locus229 60 1 104 1.85861285208052e-09 0
locus229 16 2 104 1.85861285208052e-09 0
locus230 72 1 90 6.39353759778872e-10 0
locus230 26 2 90 6.39353759778872e-10 0
locus231 80 1 109 1.55696880053214e-09 0
locus231 24 2 109 1.55696880053214e-09 0
locus232 84 1 86 1.03037613372675e-10 0
locus232 24 2 86 1.03037613372675e-10 0
locus233 76 1 162 2.49595727067323e-09 0
locus233 28 2 162 2.49595727067323e-09 0
locus234 60 1 107 1.69704171914005e-09 0
locus234 20 2 107 1.69704171914005e-09 0
locus235 102 1 117 1.20699105402975e-09 0
locus235 22 2 117 1.20699105402975e-09 0
locus236 96 1 126 1.47492214615054e-09 0
locus236 28 2 126 1.47492214615054e-09 0
locus237 90 1 102 1.41383723168644e-09 0
locus237 28 2 102 1.41383723168644e-09 0
locus238 32 1 48 1.3292514540172e-09 0
locus238 22 2 48 1.3292514540172e-09 0
locus239 52 1 22 2.49145620856006e-09 0
locus239 18 2 22 2.49145620856006e-09 0
locus240 64 1 87 1.64331809142523e-09 0
locus240 22 2 87 1.64331809142523e-09 0
locus241 84 1 92 1.76424498708383e-10 0
locus241 26 2 92 1.76424498708383e-10 0
locus242 86 1 175 8.84420673556651e-10 0
locus242 30 2 175 8.84420673556651e-10 0
locus243 102 1 175 1.27034635415488e-09 0
locus243 30 2 175 1.27034635415488e-09 0
locus244 82 1 141 2.26311786207957e-10 0
locus244 32 2 141 2.26311786207957e-10 0
locus245 48 1 153 6.99296541524223e-10 0
locus245 8 2 153 6.99296541524223e-10 0
locus246 90 1 82 1.90887108805525e-09 0
locus246 24 2 82 1.90887108805525e-09 0
locus247 98 1 54 1.28438225628569e-09 0
locus247 22 2 54 1.28438225628569e-09 0
locus248 80 1 86 1.0096145567371e-09 0
locus248 30 2 86 1.0096145567371e-09 0
locus249 90 1 96 7.13649343893206e-10 0
locus249 32 2 96 7.13649343893206e-10 0
locus250 78 1 126 7.82980613731544e-10 0
locus250 20 2 126 7.82980613731544e-10 0
locus251 88 1 109 1.65035502918886e-09 0
locus251 28 2 109 1.65035502918886e-09 0
locus252 36 1 377 1.78082324184231e-09 0
locus252 8 2 377 1.78082324184231e-09 0
locus253 72 1 137 4.18522420550486e-10 0
locus253 28 2 137 4.18522420550486e-10 0
locus254 64 1 63 3.44627388782107e-10 0
locus254 22 2 63 3.44627388782107e-10 0
locus255 40 1 83 1.11649617456133e-09 0
locus255 20 2 83 1.11649617456133e-09 0
locus256 86 1 89 1.83426876734981e-09 0
locus256 30 2 89 1.83426876734981e-09 0
locus257 38 1 119 1.66011610891114e-09 0
locus257 10 2 119 1.66011610891114e-09 0
locus258 78 1 106 2.08007888177512e-10 0
locus258 24 2 106 2.08007888177512e-10 0
locus259 74 1 108 1.47361692173651e-09 0
locus259 34 2 108 1.47361692173651e-09 0
locus260 94 1 89 2.19181946620162e-10 0
locus260 32 2 89 2.19181946620162e-10 0
locus261 84 1 91 8.9027483917243e-10 0
locus261 28 2 91 8.9027483917243e-10 0
locus262 78 1 121 1.04669110359741e-09 0
locus262 26 2 121 1.04669110359741e-09 0
locus263 76 1 124 4.12384061724833e-10 0
locus263 18 2 124 4.12384061724833e-10 0
locus264 48 1 326 4.18646974603623e-10 0
locus264 8 2 326 4.18646974603623e-10 0
locus265 44 1 166 1.18953752454652e-09 0
locus265 16 2 166 1.18953752454652e-09 0
locus266 78 1 178 1.36986281679605e-09 0
locus266 26 2 178 1.36986281679605e-09 0
locus267 92 1 107 1.85442687089395e-09 0
locus267 28 2 107 1.85442687089395e-09 0
locus268 56 1 116 3.1697056865751e-10 0
locus268 16 2 116 3.1697056865751e-10 0
locus269 86 1 87 8.21235403202581e-10 0
locus269 26 2 87 8.21235403202581e-10 0
locus270 64 1 98 3.09364034442303e-11 0
locus270 26 2 98 3.09364034442303e-11 0
locus271 58 1 119 4.23411567013911e-10 0
locus271 12 2 119 4.23411567013911e-10 0
locus272 46 1 123 4.1828651465946e-10 0
locus272 12 2 123 4.1828651465946e-10 0
locus273 88 1 106 1.6073030769379e-09 0
locus273 30 2 106 1.6073030769379e-09 0
locus274 84 1 101 1.03425376461837e-09 0
locus274 24 2 101 1.03425376461837e-09 0
locus275 90 1 101 7.27952963421529e-10 0
locus275 22 2 101 7.27952963421529e-10 0
locus276 70 1 120 2.29107052289517e-09 0
locus276 30 2 120 2.29107052289517e-09 0
locus277 70 1 94 1.05159153114176e-09 0
locus277 20 2 94 1.05159153114176e-09 0
locus278 98 1 131 8.82613764655914e-10 0
locus278 24 2 131 8.82613764655914e-10 0
locus279 92 1 91 1.87755246083236e-09 0
locus279 20 2 91 1.87755246083236e-09 0
locus280 72 1 133 1.56851479387218e-09 0
locus280 20 2 133 1.56851479387218e-09 0
locus281 72 1 89 3.53441300511299e-10 0
locus281 30 2 89 3.53441300511299e-10 0
locus282 94 1 112 1.68192147007871e-09 0
locus282 30 2 112 1.68192147007871e-09 0
locus283 86 1 85 1.38062848350143e-09 0
locus283 18 2 85 1.38062848350143e-09 0
locus284 86 1 128 1.90727434094217e-10 0
locus284 24 2 128 1.90727434094217e-10 0
locus285 86 1 167 8.70765859974484e-10 0
locus285 26 2 167 8.70765859974484e-10 0
locus286 60 1 165 2.9455710506627e-10 0
locus286 24 2 165 2.9455710506627e-10 0
locus287 36 1 77 3.24985081461331e-10 0
locus287 12 2 77 3.24985081461331e-10 0
locus288 92 1 80 3.21322163445563e-10 0
locus288 18 2 80 3.21322163445563e-10 0
locus289 90 1 139 1.5299688365394e-09 0
locus289 32 2 139 1.5299688365394e-09 0
locus290 82 1 98 1.26077503532431e-09 0
locus290 26 2 98 1.26077503532431e-09 0
locus291 54 1 57 2.50955361477993e-09 0
locus291 20 2 57 2.50955361477993e-09 0
locus292 66 1 80 6.39245029716463e-11 0
locus292 22 2 80 6.39245029716463e-11 0
locus293 100 1 244 1.50714439920684e-09 0
locus293 24 2 244 1.50714439920684e-09 0
locus294 72 1 85 2.18896055100952e-09 0
locus294 24 2 85 2.18896055100952e-09 0
locus295 36 1 221 6.56164050199046e-10 0
locus295 18 2 221 6.56164050199046e-10 0
locus296 72 1 170 6.40411437144163e-10 0
locus296 10 2 170 6.40411437144163e-10 0
locus297 70 1 99 8.33450946761921e-10 0
locus297 16 2 99 8.33450946761921e-10 0
locus298 88 1 183 8.0234229839515e-10 0
locus298 28 2 183 8.0234229839515e-10 0
locus299 64 1 173 1.12112751424557e-09 0
locus299 20 2 173 1.12112751424557e-09 0
locus300 92 1 115 6.50995061782543e-10 0
locus300 20 2 115 6.50995061782543e-10 0
locus301 78 1 73 9.62340844254404e-10 0
locus301 26 2 73 9.62340844254404e-10 0
locus302 92 1 100 2.12173902392957e-09 0
locus302 24 2 100 2.12173902392957e-09 0
locus303 48 1 155 1.06447333598918e-09 0
locus303 6 2 155 1.06447333598918e-09 0
locus304 70 1 74 1.02966942937669e-09 0
